ticker,token_symbol,platform,contract,size_usdt,market_open,market_status,token_price,reference_price,divergence_pct,status,buy_error_code,buy_error_msg,exit_error_code,exit_error_msg,buy_vendor,sell_vendor,buy_price_impact,sell_price_impact,recovered_usdt,quoted_roundtrip_loss_pct,anomalies
CLF,CLFon,ondo,0xac38a6608868e2f487d7993ea7339c69e5ab077b,100,True,postmarket,12.17,12.17,0,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,99.321870355428544032,0.67812964457145596800,HIGH_ROUNDTRIP_COST
CLF,CLFon,ondo,0xac38a6608868e2f487d7993ea7339c69e5ab077b,500,True,postmarket,12.17,12.17,0,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,496.609351777142762784,0.678129644571447443200,HIGH_ROUNDTRIP_COST
CLF,CLFon,ondo,0xac38a6608868e2f487d7993ea7339c69e5ab077b,1000,True,postmarket,12.17,12.17,0,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,993.218703554285525568,0.678129644571447443200,HIGH_ROUNDTRIP_COST
CLF,CLFon,ondo,0xac38a6608868e2f487d7993ea7339c69e5ab077b,3000,True,postmarket,12.17,12.17,0,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,2979.656110662856463104,0.67812964457145122986666666666666666666666666666667,HIGH_ROUNDTRIP_COST
ITA,ITAon,ondo,0x88b90f45bd6a4f97f7d85d280ed64a40880e4935,100,True,postmarket,215.501644836202529405,215.123548,0.1757579956809420998392979275332517293736713565200,OK,,,,,LiquidMesh,LiquidMesh,0.0000000000,-0.0000000000,98.615691076676370128,1.38430892332362987200,HIGH_ROUNDTRIP_COST
ITA,ITAon,ondo,0x88b90f45bd6a4f97f7d85d280ed64a40880e4935,500,True,postmarket,215.501644836202529405,215.123548,0.1757579956809420998392979275332517293736713565200,OK,,,,,LiquidMesh,LiquidMesh,0.0000000000,-0.0000000000,493.07845538338182224,1.38430892332363555200,HIGH_ROUNDTRIP_COST
ITA,ITAon,ondo,0x88b90f45bd6a4f97f7d85d280ed64a40880e4935,1000,True,postmarket,215.501644836202529405,215.123548,0.1757579956809420998392979275332517293736713565200,OK,,,,,LiquidMesh,LiquidMesh,0.0000000000,-0.0000000000,986.15691076676364448,1.38430892332363555200,HIGH_ROUNDTRIP_COST
ITA,ITAon,ondo,0x88b90f45bd6a4f97f7d85d280ed64a40880e4935,3000,True,postmarket,215.501644836202529405,215.123548,0.1757579956809420998392979275332517293736713565200,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,0.0000000000,2960.838458249527775488,1.3053847250157408170666666666666666666666666666667,HIGH_ROUNDTRIP_COST
TEL,TELon,ondo,0x5c50ffd365c852f5e72bfbc2c1ae621e2aca5ece,100,True,postmarket,203.780365195534856141,203,0.384416352480224700,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,96.485350045000657816,3.51464995499934218400,HIGH_ROUNDTRIP_COST
TEL,TELon,ondo,0x5c50ffd365c852f5e72bfbc2c1ae621e2aca5ece,500,True,postmarket,203.780365195534856141,203,0.384416352480224700,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,482.426750225003274848,3.514649954999345030400,HIGH_ROUNDTRIP_COST
TEL,TELon,ondo,0x5c50ffd365c852f5e72bfbc2c1ae621e2aca5ece,1000,True,postmarket,203.780365195534856141,203,0.384416352480224700,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,964.853500450006549696,3.514649954999345030400,HIGH_ROUNDTRIP_COST
TEL,TELon,ondo,0x5c50ffd365c852f5e72bfbc2c1ae621e2aca5ece,3000,True,postmarket,203.780365195534856141,203,0.384416352480224700,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,0.0000000000,2894.560501350019421696,3.5146499549993526101333333333333333333333333333333,HIGH_ROUNDTRIP_COST
VZ,VZon,ondo,0xa3b089c886e6d721f49def8e050f3b9d4362560b,100,True,postmarket,51.629695035468828472,49.893333,3.4801484107482425998680024042490807338928429576000,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,-0.0000000000,99.87942108508741512,0.1205789149125848800,LARGE_REFERENCE_DIVERGENCE
VZ,VZon,ondo,0xa3b089c886e6d721f49def8e050f3b9d4362560b,500,True,postmarket,51.629695035468828472,49.893333,3.4801484107482425998680024042490807338928429576000,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,0.0000000000,499.397105425437075616,0.120578914912584876800,LARGE_REFERENCE_DIVERGENCE
VZ,VZon,ondo,0xa3b089c886e6d721f49def8e050f3b9d4362560b,1000,True,postmarket,51.629695035468828472,49.893333,3.4801484107482425998680024042490807338928429576000,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,0.0000000000,998.794210850874151232,0.120578914912584876800,LARGE_REFERENCE_DIVERGENCE
VZ,VZon,ondo,0xa3b089c886e6d721f49def8e050f3b9d4362560b,3000,True,postmarket,51.629695035468828472,49.893333,3.4801484107482425998680024042490807338928429576000,OK,,,,,LiquidMesh,LiquidMesh,-0.0000000000,0.0000000000,2996.38263255262245376,0.12057891491258487466666666666666666666666666666667,LARGE_REFERENCE_DIVERGENCE
