ticker,wrapper,platform,size_usdt,attempts,buy_successes,exit_successes,route_reliability_pct,route_reliability_label,avg_roundtrip_loss_pct,min_roundtrip_loss_pct,max_roundtrip_loss_pct,reliable_3_of_3,at_least_one_roundtrip
NVDA,NVDAon,ondo,3000,1,1,1,100,HIGH,0.089809931190833146400,0.089809931190833146400,0.089809931190833146400,True,True
NVDA,NVDAon,ondo,3500,1,0,0,0,NONE,,,,False,False
NVDA,NVDAon,ondo,4000,1,0,0,0,NONE,,,,False,False
NVDA,NVDAon,ondo,4250,1,0,0,0,NONE,,,,False,False
NVDA,NVDAon,ondo,4500,1,0,0,0,NONE,,,,False,False
NVDA,NVDAon,ondo,4750,1,0,0,0,NONE,,,,False,False
NVDA,NVDAon,ondo,5000,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,3000,1,1,1,100,HIGH,0.047287090301689350966666666666666666666666666666667,0.047287090301689350966666666666666666666666666666667,0.047287090301689350966666666666666666666666666666667,True,True
NVDA,NVDAB,bstock,3500,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,4000,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,4250,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,4500,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,4750,1,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,5000,1,0,0,0,NONE,,,,False,False
