ticker,wrapper,platform,size_usdt,attempts,buy_successes,exit_successes,route_reliability_pct,route_reliability_label,avg_roundtrip_loss_pct,min_roundtrip_loss_pct,max_roundtrip_loss_pct,reliable_3_of_3,at_least_one_roundtrip
NVDA,NVDAon,ondo,3100,3,3,3,100,HIGH,0.13183744021189515300000000000000000000000000000000,0.13143303502501197412903225806451612903225806451613,0.13207024227302830325806451612903225806451612903226,True,True
NVDA,NVDAon,ondo,3200,3,3,3,100,HIGH,0.17639193047996008763541666666666666666666666666667,0.17639193047996001612500,0.1763919304799602306562500,True,True
NVDA,NVDAon,ondo,3300,3,3,3,100,HIGH,0.22195055755548986339393939393939393939393939393939,0.22159493182707238918181818181818181818181818181818,0.22247125260068671954545454545454545454545454545455,True,True
NVDA,NVDAon,ondo,3400,3,3,3,100,HIGH,0.26845482056773047961764705882352941176470588235294,0.26821279628934998591176470588235294117647058823529,0.26857672374264597858823529411764705882352941176471,True,True
NVDA,NVDAon,ondo,3500,3,0,0,0,NONE,,,,False,False
NVDA,NVDAB,bstock,3100,3,3,2,66.666666666666666666666666666666666666666666666667,UNSTABLE,0.037669682466293671870967741935483870967741935483871,0.034853946690506537290322580645161290322580645161290,0.040485418242080806451612903225806451612903225806452,False,True
NVDA,NVDAB,bstock,3200,3,3,3,100,HIGH,0.030176786214353126437500,0.02349968546670311200,0.036720427195147691312500,True,True
NVDA,NVDAB,bstock,3300,3,2,2,66.666666666666666666666666666666666666666666666667,UNSTABLE,0.034263765570791257969696969696969696969696969696970,0.034263765570791257969696969696969696969696969696970,0.034263765570791257969696969696969696969696969696970,False,True
NVDA,NVDAB,bstock,3400,3,2,2,66.666666666666666666666666666666666666666666666667,UNSTABLE,0.034583536590736480161764705882352941176470588235294,0.034583287709334178205882352941176470588235294117647,0.034583785472138782117647058823529411764705882352941,False,True
NVDA,NVDAB,bstock,3500,3,0,0,0,NONE,,,,False,False
