ticker,wrapper,platform,size_usdt,status,quoted_roundtrip_loss_pct,buy_swap_gas_units,buy_swap_gas_price_wei,sell_swap_gas_units,sell_swap_gas_price_wei,buy_swap_gas_usd,sell_swap_gas_usd,buy_approval_gas_usd,sell_approval_gas_usd,warm_wallet_gas_usd,warm_wallet_all_in_loss_usd,warm_wallet_all_in_pct,cold_wallet_gas_usd,cold_wallet_all_in_loss_usd,cold_wallet_all_in_pct
NVDA,NVDAon,ondo,10,OK,-0.0077205840150402100,450000,51500000,450000,55113657,0.016670047181932869525486402391626516979916400,0.01783975267104591782627981241895307823176288074320,0.00271916319125965572075436977356571818969746577776,0.0025955368481768444936358195665714986504999697488,0.03450979985297878735176621481057959521167928074320,0.03373774145147476635176621481057959521167928074320,0.33737741451474766351766214810579595211679280743200,0.03982449989241528756615640415071681205187671626976,0.03905244149091126656615640415071681205187671626976,0.39052441490911266566156404150716812051876716269760
NVDA,NVDAon,ondo,50,OK,-6.9036496096600E-7,450000,51536841,450000,51548029,0.01668197225393732756133472170328690363063595534160,0.01668559370030376377384445261338316610581986417040,0.00259403268842009749718302820213114680040625354672,0.00261278934357041173219866830357406677436636501424,0.03336756595424109133517917431667006973645581951200,0.03336722077176060833517917431667006973645581951200,0.06673444154352121667035834863334013947291163902400,0.03857438798623160056456087082237528331122843807296,0.03857404280375111756456087082237528331122843807296,0.077148085607502235129121741644750566622456876145920
NVDA,NVDAon,ondo,100,OK,0.02640703069707461300,450000,52553925,450000,51518157,0.01701119241448080349664462096717205051211170858000,0.01667592442555776962474803844227165800261162994320,0.00260634562045221335493326067551898065432842984720,0.00259403268842009749718302820213114680040625354672,0.03368711684003857312139265940944370851472333852320,0.06009414753711318612139265940944370851472333852320,0.060094147537113186121392659409443708514723338523200,0.03888749514891088397350894828709383596945802191712,0.06529452584598549697350894828709383596945802191712,0.065294525845985496973508948287093835969458021917120
NVDA,NVDAon,ondo,500,OK,0.03379525292809548100,450000,51515000,450000,51716854,0.01667490253548100531272683532436194217903676400,0.0167402407044880320592355252713203767219195609904,0.0025955368481768444936358195665714986504999697488,0.0026025135956041154014287687667474151084715600464,0.0334151432399690373719623605956823189009563249904,0.2023914078804464423719623605956823189009563249904,0.040478281576089288474392472119136463780191264998080,0.0386131936837499972670269489290012326599278547856,0.2075894583242274022670269489290012326599278547856,0.041517891664845480453405389785800246531985570957120
NVDA,NVDAon,ondo,1000,OK,0.04426550619654629100,450000,51548030,450000,51548029,0.0166855940239940003162302686422453484674998055280,0.01668559370030376377384445261338316610581986417040,0.00259553679782502992037580373985960361646086775984,0.0025955368481768444936358195665714986504999697488,0.03337118772429776409007472125562851457331966969840,0.47602624968976067409007472125562851457331966969840,0.047602624968976067409007472125562851457331966969840,0.03856226137029963850408634456205961684028050720704,0.48121732333576254850408634456205961684028050720704,0.048121732333576254850408634456205961684028050720704
NVDA,NVDAon,ondo,3000,OK,0.086780129527268692533333333333333333333333333333333,450000,51518157,450000,62397281,0.01667592442555776962474803844227165800261162994320,0.02019739064649171617316721770309498693295368868560,0.00314181632278760029360378942048144241179279601776,0.00275986462740361929520774989350942839143832369312,0.03687331507204948579791525614536664493556531862880,2.6402772008901102617979152561453666449355653186288,0.088009240029670342059930508538178888164518843954293,0.04277499602224070538672679545935751573879643833968,2.6461788818403014813867267954593575157387964383397,0.088205962728010049379557559848645250524626547944657
NVDA,NVDAB,bstock,10,OK,-0.0216912849082397700,450000,51548029,450000,51548030,0.01668559370030376377384445261338316610581986417040,0.0166855940239940003162302686422453484674998055280,0.00261306340849713398646481309641873704919849092352,0.00261072909837351765213108673296495899643028273792,0.03337118772429776409007472125562851457331966969840,0.03120205923347378709007472125562851457331966969840,0.31202059233473787090074721255628514573319669698400,0.03859498023116841572867062108501221061894844335984,0.03642585174034443872867062108501221061894844335984,0.36425851740344438728670621085012210618948443359840
NVDA,NVDAB,bstock,50,OK,-0.02173803713036768200,450000,51568985,450000,51690240,0.01669237695290074601100515344927673747067095403600,0.016731626012532693003127733133199002971960269824,0.00259799054245281402746707106392840240997899375856,0.00259799054245281402746707106392840240997899375856,0.03342400296543343901413288658247574044263122386000,0.02255498440024959801413288658247574044263122386000,0.04510996880049919602826577316495148088526244772000,0.03861998405033906706906702871033254526258921137712,0.02775096548515522606906702871033254526258921137712,0.055501930970310452138134057420665090525178422754240
NVDA,NVDAB,bstock,100,OK,0.00181276019716847200,450000,51548029,450000,51548030,0.01668559370030376377384445261338316610581986417040,0.0166855940239940003162302686422453484674998055280,0.0025955368481768444936358195665714986504999697488,0.0025955368481768444936358195665714986504999697488,0.03337118772429776409007472125562851457331966969840,0.03518394792146623609007472125562851457331966969840,0.035183947921466236090074721255628514573319669698400,0.03856226142065145307734636038877151187431960919600,0.04037502161781992507734636038877151187431960919600,0.04037502161781992507734636038877151187431960919600
NVDA,NVDAB,bstock,500,OK,-0.00218558823939929600,450000,51548030,450000,71254858,0.0166855940239940003162302686422453484674998055280,0.0230645018408141123023506987057516088628841152208,0.0025955368481768444936358195665714986504999697488,0.00263598138936285529548845180242674518474247999024,0.0397500958648081126185809673479969573303839207488,0.0288221546678116326185809673479969573303839207488,0.0057644309335623265237161934695993914660767841497600,0.04498161410234781240770523871699520116562637048784,0.03405367290535133240770523871699520116562637048784,0.0068107345810702664815410477433990402331252740975680
NVDA,NVDAB,bstock,1000,OK,0.011315753717587993600,450000,51500000,450000,51688467,0.016670047181932869525486402391626516979916400,0.01673105210974330335307591396054967571342424279920,0.00259403268842009749718302820213114680040625354672,0.00259735188003676679742632505025179065800936578992,0.03340109929167617287856231635217619269334064279920,0.14655863646755610887856231635217619269334064279920,0.014655863646755610887856231635217619269334064279920,0.03859248386013303717317166960455913015175626213584,0.15175002103601297317317166960455913015175626213584,0.015175002103601297317317166960455913015175626213584
NVDA,NVDAB,bstock,3000,OK,0.015207214350854820366666666666666666666666666666667,450000,51789926,450000,51548030,0.0167638933974526572755843862887099093985944435376,0.0166855940239940003162302686422453484674998055280,0.0025955368481768444936358195665714986504999697488,0.0025955368481768444936358195665714986504999697488,0.0334494874214466575918146549309552578660942490656,0.4896659179470912685918146549309552578660942490656,0.016322197264903042286393821831031841928869808302187,0.0386405611178003465790862940640982551670941885632,0.4948569916434449575790862940640982551670941885632,0.016495233054781498585969543135469941838903139618773
